iri	iri label	entity	entity label	plant_part	plant_part label
TO:0000494	pigment content	CHEBI:26130	biological pigment	PO:0009011	plant structure
TO:0000609	potassium content	CHEBI:29103	potassium(1+)	PO:0009011	plant structure
TO:0000608	sodium content	CHEBI:29101	sodium(1+)	PO:0009011	plant structure
TO:0000466	carbon content	CHEBI:27594	carbon atom	PO:0009011	plant structure
TO:0002670	momilactone A content	CHEBI:49191	momilactone A	PO:0009011	plant structure
TO:0002734	awn presence	PO:0025349	awn	PO:0009011	plant structure
TO:0000669	deoxynivalenol content	CHEBI:10022	Vomitoxin	PO:0009011	plant structure
TO:0002699	lycopene content	CHEBI:15948	lycopene	PO:0009011	plant structure
TO:0005002	oleic acid content	CHEBI:16196	oleic acid	PO:0009011	plant structure
TO:0000605	hydrogen peroxide content	CHEBI:16240	hydrogen peroxide	PO:0009011	plant structure
TO:0006004	raffinose content	CHEBI:16634	raffinose	PO:0009011	plant structure
TO:0000489	carbohydrate composition related trait	CHEBI:16646	carbohydrate	PO:0009011	plant structure
TO:0000300	glucose content	CHEBI:17234	glucose	PO:0009011	plant structure
TO:0005001	linoleic acid content	CHEBI:17351	linoleic acid	PO:0009011	plant structure
TO:0000955	cyanide content	CHEBI:17514	cyanide	PO:0009011	plant structure
TO:0002695	beta-carotene content	CHEBI:17579	beta-carotene	PO:0009011	plant structure
TO:0000675	ferulic acid content	CHEBI:17620	ferulic acid	PO:0009011	plant structure
TO:0000602	total fat content	CHEBI:17855	triglyceride	PO:0009011	plant structure
TO:0000328	sucrose content	CHEBI:17992	sucrose	PO:0009011	plant structure
TO:0000307	hexose content	CHEBI:18133	hexose	PO:0009011	plant structure
TO:0006007	polysaccharide content	CHEBI:18154	polysaccharide	PO:0009011	plant structure
TO:0000293	chlorophyll-a content	CHEBI:18230	chlorophyll a	PO:0009011	plant structure
TO:0000993	cellulose content	CHEBI:18246	(1->4)-beta-D-glucan	PO:0009011	plant structure
TO:0002668	jasmonic acid content	CHEBI:18292	jasmonic acid	PO:0009011	plant structure
TO:0002676	brassinosteroid content	CHEBI:22921	brassinosteroid	PO:0009011	plant structure
TO:0000496	carotenoid content	CHEBI:23044	carotenoid	PO:0009011	plant structure
TO:0002660	cytokinin content	CHEBI:23530	cytokinin	PO:0009011	plant structure
TO:0000281	metabolite content trait	CHEBI:25212	metabolite	PO:0009011	plant structure
TO:0000668	mycotoxin content	CHEBI:25442	mycotoxin	PO:0009011	plant structure
TO:0005004	omega-3 fatty acid content	CHEBI:25681	omega-3 fatty acid	PO:0009011	plant structure
TO:0006002	proline content	CHEBI:26271	proline	PO:0009011	plant structure
TO:0000301	xanthophyll content	CHEBI:27325	xanthophyll	PO:0009011	plant structure
TO:0005005	alpha-linolenic acid content	CHEBI:27432	alpha-linolenic acid	PO:0009011	plant structure
TO:0000295	chlorophyll-b content	CHEBI:27888	chlorophyll b	PO:0009011	plant structure
TO:0002674	tryptophan content	CHEBI:27897	tryptophan	PO:0009011	plant structure
TO:0000696	starch content	CHEBI:28017	starch	PO:0009011	plant structure
TO:0000097	amylopectin content	CHEBI:28057	amylopectin	PO:0009011	plant structure
TO:0002696	alpha carotene content	CHEBI:28425	alpha-carotene	PO:0009011	plant structure
TO:0006005	fructose content	CHEBI:28757	fructose	PO:0009011	plant structure
TO:0020068	beta-glucan content	CHEBI:28793	beta-D-glucan	PO:0009011	plant structure
TO:0002675	gibberellic acid content	CHEBI:28833	gibberellin A3	PO:0009011	plant structure
TO:0002701	lutein content	CHEBI:28838	lutein	PO:0009011	plant structure
TO:0005003	stearic acid content	CHEBI:28842	stearic acid	PO:0009011	plant structure
TO:0000495	chlorophyll content	CHEBI:28966	chlorophyll	PO:0009011	plant structure
TO:0002673	amino acid content	CHEBI:33709	amino acid	PO:0009011	plant structure
TO:0002698	acyclic carotene content	CHEBI:35162	acyclic carotene	PO:0009011	plant structure
TO:0002697	cyclic carotene content	CHEBI:35163	cyclic carotene	PO:0009011	plant structure
TO:0000071	anthocyanin content	CHEBI:35218	anthocyanin cation	PO:0009011	plant structure
TO:0006006	monosaccharide content	CHEBI:35381	monosaccharide	PO:0009011	plant structure
TO:0000932	mannose content	CHEBI:37684	mannose	PO:0009011	plant structure
TO:0006003	oligosaccharide content	CHEBI:50699	oligosaccharide	PO:0009011	plant structure
TO:0002669	diterpenoid phytoalexin content	CHEBI:60952	diterpene phytoalexin	PO:0009011	plant structure
TO:0000731	lignin content	CHEBI:6457	lignin	PO:0009011	plant structure
TO:0000690	maysin content	CHEBI:70206	maysin	PO:0009011	plant structure
TO:0000313	perodidase-71 content	CHEBI:8027	Peroxidase	PO:0009011	plant structure
TO:0000493	leaf composition trait	PO:0025034	leaf	PO:0009011	plant structure
TO:0000478	abscisic acid concentration	CHEBI:22152	2-cis-abscisic acid	PO:0009011	plant structure
TO:0000513	potassium concentration	CHEBI:29103	potassium(1+)	PO:0009011	plant structure
TO:0000526	sodium concentration	CHEBI:29101	sodium(1+)	PO:0009011	plant structure
TO:0000702	starch concentration	CHEBI:28017	starch	PO:0009011	plant structure
